# Time, Flux
2.459424409257743973e+06,1.000013661804476151e+00
2.459424410646635108e+06,9.998198244744348484e-01
2.459424412035525776e+06,9.999992244099893401e-01
2.459424413424416445e+06,1.000074993646123067e+00
2.459424414813307114e+06,9.996388868886707524e-01
2.459424416202198248e+06,1.000061211997551602e+00
2.459424417591088451e+06,1.000192585115103672e+00
2.459424418979979120e+06,9.992853230812186460e-01
2.459424420368870255e+06,1.000473290187739339e+00
2.459424421757760923e+06,1.000233333912044387e+00
2.459424423146651592e+06,1.000333563624084432e+00
2.459424424535542261e+06,9.995169850800533773e-01
2.459424425924432930e+06,1.000015034781355894e+00
2.459424427313323598e+06,9.996799663403822533e-01
2.459426417592500336e+06,9.997074873233016135e-01
2.459426418981389608e+06,1.000026918794450381e+00
2.459426420370277949e+06,1.000307980655912976e+00
2.459426421759167220e+06,1.000043825273729592e+00
2.459426423148056492e+06,9.999847720663100903e-01
2.459426424536944833e+06,9.999597119234661102e-01
2.459426425925834104e+06,9.999997002376156408e-01
2.459426427314723376e+06,1.000036810831833156e+00
2.459426428703612648e+06,9.999420850080568135e-01
2.459426430092500988e+06,9.995756497795302842e-01
2.459426431481390260e+06,9.997685198924507466e-01
2.459426432870279532e+06,9.999064103850058283e-01
2.459426434259168338e+06,9.998693015709770870e-01
2.459426435648057144e+06,1.000045745596566560e+00
2.459426437036946416e+06,9.999490396033626771e-01
2.459426438425835222e+06,1.000200361237762348e+00
2.459426439814724028e+06,1.000004916104576980e+00
2.459426441203613300e+06,9.999020361316406369e-01
2.459426442592502106e+06,1.000098985556922004e+00
2.459426443981391378e+06,1.000245455402809736e+00
2.459426445370280184e+06,9.998945992676747663e-01
2.459426446759168990e+06,1.000054257007832126e+00
2.459426448148058262e+06,9.998661267371524719e-01
2.459426449536947068e+06,9.996978262737297172e-01
2.459426450925835874e+06,1.000075183700940951e+00
2.459426452314725146e+06,1.001154619421934955e+00
2.459426453703614417e+06,9.994294951715723130e-01
2.459426455092502758e+06,1.000134292855787921e+00
2.459426456481392030e+06,9.997507853678098133e-01
2.459426457870281301e+06,1.000184288135518962e+00
2.459426459259169642e+06,1.000496439674456450e+00
2.459426460648058914e+06,9.996384461204387284e-01
2.459426462036948185e+06,9.998263278158693312e-01
2.459426463425836992e+06,9.997805935735137872e-01
2.459426464814725798e+06,1.000077149994095249e+00
2.459426466203614604e+06,1.000051494568402033e+00
2.459426467592503875e+06,1.000126488404340375e+00
2.459426468981392682e+06,1.000338512833454985e+00
2.459426470370281488e+06,9.998415637650396315e-01
2.459426471759170759e+06,9.998018198286874325e-01
2.459426473148060031e+06,1.000182294585892695e+00
2.459426474536948372e+06,1.000220539882110904e+00
2.459426475925837643e+06,9.996803700322327568e-01
2.459426477314726450e+06,1.000061564339680409e+00
2.459426478703615256e+06,9.998000807469966666e-01
2.459426480092504527e+06,1.000003297019165016e+00
2.459426481481393334e+06,9.999781797277081941e-01
2.459426482870282605e+06,1.000278448254932728e+00
2.459426484259170946e+06,1.000748902916872796e+00
2.459426485648060217e+06,1.000106043775877751e+00
2.459426487036949489e+06,9.998582885889344407e-01
2.459426488425838295e+06,9.998273566565698545e-01
2.459426489814727101e+06,9.999040270858223778e-01
2.459426491203615908e+06,9.999000107302633555e-01
2.459426492592505179e+06,9.992777753466504098e-01
2.459426493981393520e+06,9.998082939540661185e-01
2.459426495370282792e+06,9.990478839501036878e-01
2.459426496759172063e+06,9.976964102773143717e-01
2.459426498148060869e+06,9.963152035842676169e-01
2.459426499536949676e+06,9.939390197334938559e-01
2.459426500925838482e+06,9.921434690162146408e-01
2.459426502314727753e+06,9.898032525286555305e-01
2.459426503703616094e+06,9.872147413437046826e-01
2.459426505092505366e+06,9.850420728231202849e-01
2.459426506481394637e+06,9.830698024612466446e-01
2.459426507870283443e+06,9.807397167809929206e-01
2.459426509259172250e+06,9.790789837301632215e-01
2.459426510648061056e+06,9.783569389136297367e-01
2.459426512036950327e+06,9.781444317426367663e-01
2.459426513425838668e+06,9.772507626579641782e-01
2.459426514814727940e+06,9.762613604415353308e-01
2.459426516203616746e+06,9.762399598604226680e-01
2.459426517592506018e+06,9.761511204732825631e-01
2.459426518981394358e+06,9.751823395450968102e-01
2.459426520370283630e+06,9.755000512534925949e-01
2.459426521759172902e+06,9.760549077766834669e-01
2.459426523148061242e+06,9.756955938181693933e-01
2.459426524536950514e+06,9.755475881185412534e-01
2.459426525925839320e+06,9.751007535762049594e-01
2.459426527314728592e+06,9.755525036581805809e-01
2.459426528703616932e+06,9.751760452565342296e-01
2.459426530092506204e+06,9.748869875474993618e-01
2.459426531481395010e+06,9.752968356513299630e-01
2.459426532870284282e+06,9.746267037290362589e-01
2.459426534259172622e+06,9.747190199612871808e-01
2.459426535648061894e+06,9.745370850490264747e-01
2.459426537036950700e+06,9.745892377256877293e-01
2.459426538425839506e+06,9.749057505219763664e-01
2.459426539814728312e+06,9.745562076971355792e-01
2.459426541203617584e+06,9.752565522045295587e-01
2.459426542592506390e+06,9.753529447379447603e-01
2.459426543981395196e+06,9.755348796502053554e-01
2.459426545370284002e+06,9.759495234024646582e-01
2.459426546759173274e+06,9.762431969231120110e-01
2.459426548148061614e+06,9.768104621866118276e-01
2.459426549536950886e+06,9.771506534970167968e-01
2.459426550925839692e+06,9.773505720908847172e-01
2.459426552314728964e+06,9.782718161540218116e-01
2.459426553703617305e+06,9.796808975535599151e-01
2.459426555092506576e+06,9.817053805377000675e-01
2.459426556481395382e+06,9.835980431356586839e-01
2.459426557870283723e+06,9.854091197647254496e-01
2.459426559259172995e+06,9.879950532886458969e-01
2.459426560648061801e+06,9.904302236150916983e-01
2.459426562036951073e+06,9.929487183329847033e-01
2.459426563425839413e+06,9.945077836371276625e-01
2.459426564814728685e+06,9.965454546544465497e-01
2.459426566203617491e+06,9.978565249892247246e-01
2.459426567592506297e+06,9.994932198523059919e-01
2.459426568981395103e+06,1.000039204425903883e+00
2.459426570370284375e+06,1.000052572295898612e+00
2.459426571759173181e+06,1.000226954061884221e+00
2.459426573148061521e+06,1.000106043775877751e+00
2.459426574536950793e+06,1.000075831190777587e+00
2.459426575925839599e+06,1.000067798479659542e+00
2.459426577314728871e+06,9.997913293477498353e-01
2.459426578703617211e+06,9.996533345642164559e-01
2.459426580092506483e+06,9.997473292734172512e-01
2.459426581481395289e+06,1.000081286240865008e+00
2.459426582870283630e+06,9.997945664104391783e-01
2.459426584259172902e+06,9.998644672435730296e-01
2.459426585648061708e+06,9.999652925847097862e-01
2.459426587036950979e+06,1.000018402722787636e+00
2.459426588425839320e+06,9.996418362584471584e-01
2.459426589814728126e+06,9.997949962418974934e-01
2.459426591203617398e+06,9.998798749908662797e-01
2.459426592592505738e+06,9.999815976158662467e-01
2.459426593981395010e+06,1.000002997058746512e+00
2.459426595370283816e+06,9.998190975340620623e-01
2.459426596759172622e+06,9.996248821912490090e-01
2.459426598148061428e+06,1.000345749028285214e+00
2.459426599536950234e+06,1.000269502016499779e+00
2.459426600925839506e+06,1.000056465480320123e+00
2.459426602314727847e+06,1.000039081646054262e+00
2.459426603703616653e+06,1.000052509300170422e+00
2.459426605092505924e+06,1.000015824720599245e+00
2.459426606481394731e+06,9.996770369494785147e-01
2.459426607870283537e+06,1.000512915096637201e+00
2.459426609259172343e+06,1.000074923720160491e+00
2.459426610648061149e+06,1.000025354186902415e+00
2.459426612036949955e+06,1.000001678287307794e+00
2.459426613425838761e+06,9.999166252140337940e-01
2.459426614814727567e+06,1.000028111265226949e+00
2.459426616203616839e+06,9.999301723023912292e-01
2.459426617592505179e+06,9.996578742506858628e-01
2.459426618981393985e+06,9.997081645244819681e-01
2.459426620370283257e+06,1.000391931027811099e+00
2.459426621759171598e+06,1.000500182091455192e+00
2.459426623148060404e+06,1.000093202744799958e+00
2.459426624536949676e+06,9.998573498283283012e-01
2.459426625925838482e+06,9.997818384723659024e-01
2.459426627314727288e+06,1.000077554159953586e+00
2.459426628703616094e+06,9.998987750704754207e-01
2.459426630092504900e+06,1.000290130185807369e+00
2.459426631481394172e+06,9.992483346585265824e-01
2.459426632870282512e+06,9.999698542762908149e-01
2.459426634259171318e+06,9.999543939373781720e-01
2.459426635648060590e+06,1.000205976395836194e+00
2.459426637036948930e+06,1.000048662447896142e+00
2.459426638425837737e+06,9.995617982524428458e-01
2.459426639814726543e+06,1.000132203407707587e+00
2.459426641203615814e+06,1.000076109849405537e+00
2.459426642592504155e+06,9.997680147818511776e-01
2.459426643981392961e+06,1.000414528998691654e+00
2.459426645370282233e+06,9.999741112890959682e-01
2.459426646759170573e+06,1.000155209210629836e+00
2.459428635646839626e+06,9.997170871089621214e-01
2.459428637035727035e+06,1.000065661391552174e+00
2.459428638424614444e+06,9.998574175919905382e-01
2.459428639813501388e+06,9.998391596953397631e-01
2.459428641202389263e+06,9.999023298016784800e-01
2.459428642591276672e+06,1.000472801750397656e+00
2.459428643980163615e+06,1.000393033493185868e+00
2.459428645369051024e+06,1.000038519769412382e+00
2.459428646757938433e+06,1.000046934857499403e+00
2.459428648146825843e+06,1.000068624450737742e+00
2.459428649535712786e+06,1.000287649046829097e+00
2.459428650924600195e+06,1.000111172149124705e+00
2.459428652313487604e+06,9.999134786717814860e-01
2.459428653702375013e+06,9.998050307055896813e-01
2.459428655091261957e+06,9.997701851295675013e-01
2.459428656480149366e+06,1.000078226737353582e+00
2.459428657869036775e+06,9.998288565209636491e-01
2.459428659257923719e+06,9.999913476487471975e-01
2.459428660646811593e+06,9.999039984639753742e-01
2.459428662035699002e+06,9.997955567913011654e-01
2.459428663424586412e+06,1.000480348610070402e+00
2.459428664813473355e+06,9.998929793252174791e-01
2.459428666202360764e+06,1.000092680141395185e+00
2.459428667591248173e+06,1.000159405102527765e+00
2.459428668980135117e+06,9.999217793815902144e-01
2.459428670369022526e+06,9.999634970447420779e-01
2.459428671757909935e+06,1.000100975707401751e+00
2.459428673146797344e+06,9.994748552118575269e-01
2.459428674535684288e+06,9.995245421347868087e-01
2.459428675924571697e+06,1.000000000000000000e+00
2.459428677313459106e+06,9.996319112339601132e-01
2.459428678702346049e+06,1.000010428786674677e+00
2.459428680091233458e+06,9.998443977624563717e-01
2.459428681480120867e+06,1.000193760095374973e+00
2.459428682869008277e+06,1.000235237791632592e+00
2.459428684257895220e+06,1.000207385188004672e+00
2.459428685646782629e+06,1.000130948932997255e+00
2.459428687035670038e+06,1.000323634758444102e+00
2.459428688424556982e+06,9.998396669813286453e-01
2.459428689813444391e+06,1.000709826150659065e+00
2.459428691202331800e+06,1.000000000000000000e+00
2.459428692591219209e+06,1.000168611704780552e+00
2.459428693980106153e+06,1.000039810874648438e+00
2.459428695368993562e+06,1.000036848371793630e+00
2.459428696757880971e+06,9.997845969777463537e-01
2.459428698146768380e+06,9.996472813173787886e-01
2.459428699535655323e+06,9.996320010293544556e-01
2.459428700924543198e+06,9.994621015597278113e-01
2.459428702313430607e+06,9.999631529859588364e-01
2.459428703702317551e+06,9.997438485441131339e-01
2.459428705091204960e+06,9.995003743341928093e-01
2.459428706480092369e+06,9.999003592162808429e-01
2.459428707868979778e+06,1.000022629476445157e+00
2.459428709257866722e+06,1.000485882109432012e+00
2.459428710646754131e+06,1.000197030467687265e+00
2.459428712035641074e+06,9.995933802975930371e-01
2.459428713424528018e+06,9.992739610908071279e-01
2.459428714813415427e+06,9.981157110294054391e-01
2.459428716202302836e+06,9.963968186510485658e-01
2.459428717591190245e+06,9.953051537507053848e-01
2.459428718980077188e+06,9.925986802157595879e-01
2.459428720368964598e+06,9.900544635812935645e-01
2.459428721757852007e+06,9.884629360572746437e-01
2.459428723146738950e+06,9.860092965680562482e-01
2.459428724535626359e+06,9.844847688813657127e-01
2.459428725924513768e+06,9.810771962528904711e-01
2.459428727313401178e+06,9.803439893681743511e-01
2.459428728702288121e+06,9.791904192246762006e-01
2.459428730091175530e+06,9.779914716493535165e-01
2.459428731480062939e+06,9.769318553007297901e-01
2.459428732868949883e+06,9.761051092974092347e-01
2.459428734257837292e+06,9.766276606369972413e-01
2.459428735646724701e+06,9.763843641454783562e-01
2.459428737035612110e+06,9.758985412755134536e-01
2.459428738424499054e+06,9.752573925227233653e-01
2.459428739813386463e+06,9.756365843518474135e-01
2.459428741202273872e+06,9.752225004765815441e-01
2.459428742591160815e+06,9.751909850800662971e-01
2.459428743980048224e+06,9.752836356066636458e-01
2.459428745368935633e+06,9.752077498492651708e-01
2.459428746757823043e+06,9.752178797981451153e-01
2.459428748146709986e+06,9.752227374344500932e-01
2.459428749535597395e+06,9.753769377673995322e-01
2.459428750924484804e+06,9.751879046277752705e-01
